Ngày,Tổng số ca mắc,Tổng số ca tử vong,Tổng số ca phục hồi,Số ca mắc mới hàng ngày
1/22/2020,0,0,0,0
1/23/2020,2,0,0,2
1/24/2020,2,0,0,0
1/25/2020,2,0,0,0
1/26/2020,2,0,0,0
1/27/2020,2,0,0,0
1/28/2020,2,0,0,0
1/29/2020,2,0,0,0
1/30/2020,2,0,0,0
1/31/2020,2,0,0,0
2/1/2020,6,0,1,5
2/2/2020,6,0,1,0
2/3/2020,8,0,1,2
2/4/2020,8,0,1,0
2/5/2020,8,0,1,0
2/6/2020,10,0,1,2
2/7/2020,10,0,1,0
2/8/2020,13,0,1,3
2/9/2020,13,0,1,0
2/10/2020,14,0,1,1
2/11/2020,15,0,6,6
2/12/2020,15,0,6,0
2/13/2020,16,0,7,2
2/14/2020,16,0,7,0
2/15/2020,16,0,7,0
2/16/2020,16,0,7,0
2/17/2020,16,0,7,0
2/18/2020,16,0,7,0
2/19/2020,16,0,7,0
2/20/2020,16,0,7,0
2/21/2020,16,0,14,0
2/22/2020,16,0,14,0
2/23/2020,16,0,14,0
2/24/2020,16,0,14,0
2/25/2020,16,0,16,0
2/26/2020,16,0,16,0
2/27/2020,16,0,16,0
2/28/2020,16,0,16,0
2/29/2020,16,0,16,0
3/1/2020,16,0,16,0
3/2/2020,16,0,16,0
3/3/2020,16,0,16,0
3/4/2020,16,0,16,0
3/5/2020,16,0,16,0
3/6/2020,16,0,16,1
3/7/2020,18,0,16,3
3/8/2020,30,0,16,10
3/9/2020,30,0,16,1
3/10/2020,31,0,16,3
3/11/2020,38,0,16,5
3/12/2020,39,0,16,5
3/13/2020,47,0,16,0
3/14/2020,53,0,16,9
3/15/2020,56,0,16,4
3/16/2020,61,0,16,4
3/17/2020,66,0,16,5
3/18/2020,75,0,16,10
3/19/2020,85,0,16,9
3/20/2020,91,0,16,6
3/21/2020,94,0,17,3
3/22/2020,113,0,17,19
3/23/2020,123,0,17,10
3/24/2020,134,0,17,11
3/25/2020,141,0,17,14
3/26/2020,153,0,20,5
3/27/2020,163,0,20,10
3/28/2020,174,0,21,11
3/29/2020,188,0,25,20
3/30/2020,203,0,55,10
3/31/2020,212,0,58,8
4/1/2020,218,0,63,6
4/2/2020,233,0,75,15
4/3/2020,237,0,85,6
4/4/2020,240,0,90,1
4/5/2020,241,0,90,1
4/6/2020,245,0,95,4
4/7/2020,249,0,123,6
4/8/2020,251,0,126,0
4/9/2020,255,0,128,4
4/10/2020,257,0,144,2
4/11/2020,258,0,144,1
4/12/2020,262,0,144,4
4/13/2020,265,0,146,3
4/14/2020,266,0,169,1
4/15/2020,267,0,171,2
4/16/2020,268,0,177,0
4/17/2020,268,0,198,0
4/18/2020,268,0,201,0
4/19/2020,268,0,202,0
4/20/2020,268,0,214,0
4/21/2020,268,0,216,0
4/22/2020,268,0,223,0
4/23/2020,268,0,224,0
4/24/2020,270,0,220,2
4/25/2020,270,0,225,0
4/26/2020,270,0,225,0
4/27/2020,270,0,225,0
4/28/2020,270,0,222,0
4/29/2020,270,0,222,0
4/30/2020,270,0,219,0
5/1/2020,270,0,219,0
5/2/2020,270,0,219,0
5/3/2020,271,0,219,1
5/4/2020,271,0,219,0
5/5/2020,271,0,232,0
5/6/2020,271,0,232,0
5/7/2020,288,0,233,17
5/8/2020,288,0,241,0
5/9/2020,288,0,241,0
5/10/2020,288,0,241,0
5/11/2020,288,0,249,0
5/12/2020,288,0,252,0
5/13/2020,288,0,252,0
5/14/2020,312,0,260,24
5/15/2020,314,0,260,2
5/16/2020,318,0,260,4
5/17/2020,320,0,260,2
5/18/2020,324,0,263,4
5/19/2020,324,0,263,0
5/20/2020,324,0,263,0
5/21/2020,324,0,266,0
5/22/2020,324,0,267,0
5/23/2020,325,0,267,0
5/24/2020,325,0,267,1
5/25/2020,326,0,272,1
5/26/2020,327,0,272,1
5/27/2020,327,0,278,0
5/28/2020,327,0,278,0
5/29/2020,328,0,279,0
5/30/2020,328,0,279,1
5/31/2020,328,0,279,0
6/1/2020,328,0,293,0
6/2/2020,328,0,298,0
6/3/2020,328,0,302,0
6/4/2020,328,0,302,0
6/5/2020,328,0,307,0
6/6/2020,329,0,307,1
6/7/2020,331,0,307,0
6/8/2020,332,0,316,3
6/9/2020,332,0,316,0
6/10/2020,332,0,320,0
6/11/2020,332,0,321,0
6/12/2020,333,0,323,1
6/13/2020,334,0,323,1
6/14/2020,334,0,323,0
6/15/2020,334,0,323,0
6/16/2020,334,0,325,0
6/17/2020,335,0,325,1
6/18/2020,342,0,325,7
6/19/2020,349,0,326,7
6/20/2020,349,0,327,0
6/21/2020,349,0,327,0
6/22/2020,349,0,328,0
6/23/2020,349,0,329,0
6/24/2020,352,0,329,3
6/25/2020,352,0,329,0
6/26/2020,353,0,330,1
6/27/2020,355,0,330,2
6/28/2020,355,0,330,0
6/29/2020,355,0,335,0
6/30/2020,355,0,335,0
7/1/2020,355,0,336,0
7/2/2020,355,0,340,0
7/3/2020,355,0,340,0
7/4/2020,355,0,340,0
7/5/2020,355,0,340,0
7/6/2020,369,0,341,14
7/7/2020,369,0,342,0
7/8/2020,369,0,347,0
7/9/2020,369,0,347,0
7/10/2020,370,0,350,0
